grid_id,lon,lat,flare_label_ever,mean_risk,max_risk,active_months_validation_f1,strict_active_months,discovery_active_months,post_max_risk,post_mean_risk,post_strict_active_months,post_discovery_active_months,oilgas_candidate_ever
29384,43.729786,35.98923,0,0.28782302428282736,0.5769230769230769,16,56,60,0.5084033613445379,0.16303278148756545,20,23,1
15067,44.43248,35.45364,0,0.14175781120643963,0.5663265306122449,3,45,60,0.5084033613445379,0.13124688590023167,16,23,1
29386,43.75197,35.989464,0,0.10620117949936285,0.5663265306122449,5,30,52,0.5084033613445379,0.09246815225637013,15,23,1
31992,43.78316,36.125015,0,0.33347921388804197,0.6956521739130435,28,48,55,0.5084033613445379,0.14268712921047347,15,19,1
6018,44.818893,35.130226,0,0.19056898858877816,0.6738197424892703,9,51,60,0.5084033613445379,0.08977489999008896,15,23,1
28777,43.708042,35.961952,0,0.10047668971241717,0.5084033613445379,3,53,84,0.5084033613445379,0.06299012803185507,14,35,1
30329,44.139706,36.03795,0,0.030943046160161546,0.5084033613445379,1,16,60,0.5084033613445379,0.06903168065912475,14,23,1
16277,44.377037,35.49845,0,0.05896876064840319,0.5084033613445379,1,32,59,0.5084033613445379,0.08405138413387914,13,22,1
29579,43.72964,35.998245,0,0.11541157079776783,0.5663265306122449,3,39,60,0.5084033613445379,0.09055412248597551,13,23,1
30328,44.128605,36.03787,0,0.10002929415400842,0.5084033613445379,2,41,60,0.5084033613445379,0.057594537558839705,13,23,1
38203,43.98904,36.532604,0,0.09067279004564995,0.5663265306122449,7,22,31,0.5084033613445379,0.1255972487063789,12,18,1
29190,43.785378,35.980793,0,0.12611710943102283,0.6956521739130435,9,27,60,0.5084033613445379,0.10517701928437885,11,23,1
29764,43.729496,36.00726,0,0.06342071580719917,0.5084033613445379,1,31,60,0.5084033613445379,0.0816153951190787,11,23,1
60813,44.3658,35.52544,0,0.21627082086987692,0.5084033613445379,3,22,24,0.5084033613445379,0.17281388835861441,11,12,1
68746,44.139805,36.028934,0,0.10275873250959568,0.5084033613445379,1,15,24,0.5084033613445379,0.1720290856737713,11,12,1
16988,44.321682,35.5252,0,0.02017230208151163,0.5084033613445379,1,13,84,0.5084033613445379,0.03446901654771695,10,35,1
29941,43.718254,36.016155,0,0.06759118466166375,0.5084033613445379,1,33,60,0.5084033613445379,0.08145915637193983,10,23,1
54036,44.818913,35.121212,0,0.07122421677397214,0.5084033613445379,1,10,23,0.5084033613445379,0.14119646074089334,10,12,1
22592,44.05456,35.730774,0,0.05754147490357278,0.5084033613445379,1,19,60,0.5084033613445379,0.0864927678753793,9,23,1
68287,43.763058,35.98958,0,0.17198215789945426,0.5084033613445379,2,17,24,0.5084033613445379,0.18459218341225989,9,12,1
64127,44.05456,35.730774,0,0.2357103254275821,0.5769230769230769,8,18,24,0.5084033613445379,0.17448341963141098,7,12,1
16512,44.343887,35.50729,0,0.025955353684096797,0.5084033613445379,2,7,58,0.5084033613445379,0.060882348281812604,6,22,1
20660,45.005524,35.662357,0,0.02537075830276047,0.5084033613445379,1,16,83,0.5084033613445379,0.03290015614700381,6,34,1
59634,44.43248,35.45364,0,0.0563727350863823,0.5084033613445379,1,10,23,0.5084033613445379,0.06947628076095948,4,12,1
60672,44.409985,35.51665,0,0.02963051057463044,0.5084033613445379,1,2,24,0.5084033613445379,0.05198786791104563,2,12,1
29762,43.70731,36.007023,0,0.05091079657336978,0.42857142857142855,1,39,84,0.42857142857142855,0.0535659272431721,14,35,1
29454,44.50629,35.99494,0,0.2085008782124795,0.5084033613445379,4,56,60,0.33854166666666674,0.17208426723676978,22,23,1
28783,43.774567,35.96265,0,0.07629332804604501,0.33854166666666674,0,47,84,0.33854166666666674,0.09115078179605282,19,35,1
17705,44.288357,35.55206,0,0.11825918999318051,0.5663265306122449,2,46,60,0.33854166666666674,0.09696106387478882,18,23,1
14044,44.234478,35.41648,0,0.07579544995589413,0.33854166666666674,0,41,84,0.33854166666666674,0.09592012034776522,16,35,1
30116,43.707012,36.02505,0,0.13278468294520987,0.5084033613445379,2,42,60,0.33854166666666674,0.10936172817725914,14,23,1
15314,44.432415,35.462658,0,0.04970422228516415,0.33854166666666674,0,29,83,0.33854166666666674,0.057145259990408,13,34,1
28365,43.71942,35.944046,0,0.07732567000631456,0.33854166666666674,0,30,60,0.33854166666666674,0.09777513173513828,13,23,1
28575,43.752533,35.95341,0,0.06536056744629534,0.5663265306122449,1,36,83,0.33854166666666674,0.05216608721470694,13,34,1
29766,43.751682,36.007492,0,0.04193564398481373,0.33854166666666674,0,19,48,0.33854166666666674,0.05773749790275639,12,21,1
