date,mean_risk,share_high95,year,month_num,month_lbl,trend_component,seasonal_component,remainder_component,risk_deseason
2022-08-01,0.0010184018344709,1,2022,8,Aug,0.00217500395414337,-0.000104690471733269,-0.00105191164793921,0.00112309230620417
2022-09-01,0.00134278989035901,1,2022,9,Sep,0.0021657863527215,-3.1715045518215e-05,-0.000791281416844279,0.00137450493587722
2022-10-01,0.00206723386779285,1,2022,10,Oct,0.00215314792915589,0.00015104654382952,-0.000236960605192552,0.00191618732396333
2022-11-01,0.00223208676230654,1,2022,11,Nov,0.00214050950559027,0.000151350243975515,-5.97729872592466e-05,0.00208073651833102
2022-12-01,0.00202379189057046,1,2022,12,Dec,0.00213127225181827,-8.19174418944718e-06,-9.92886170583544e-05,0.00203198363475991
2023-01-01,0.00238634180727704,1,2023,1,Jan,0.00212203499804626,-2.11114332506671e-06,0.000266417952555845,0.00238845295060211
2023-02-01,0.00199883273065586,1,2023,2,Feb,0.00213882034034558,-0.000111539286271717,-2.84483234180098e-05,0.00211037201692757
2023-03-01,0.00187090103819424,1,2023,3,Mar,0.00215560568264491,-0.000106876179398033,-0.000177828465052636,0.00197777721759227
2023-04-01,0.00236404714879182,1,2023,4,Apr,0.00218153241125165,0.000125546509892463,5.69682276477064e-05,0.00223850063889936
2023-05-01,0.00293967360729428,1,2023,5,May,0.00220745913985839,0.000219690456549963,0.000512524010885926,0.00271998315074432
2023-06-01,0.00231152575370287,1,2023,6,Jun,0.00223815885919923,-6.61729105009264e-05,0.000139539805004561,0.00237769866420379
2023-07-01,0.00189847194552266,1,2023,7,Jul,0.00226885857854007,-0.000216337002085795,-0.000154049630931614,0.00211480894760846
2023-08-01,0.00197465175448691,1,2023,8,Aug,0.00230148932270169,-0.000104690471733269,-0.000222147096481505,0.00207934222622018
2023-09-01,0.00213301521797927,1,2023,9,Sep,0.0023341200668633,-3.1715045518215e-05,-0.000169389803365819,0.00216473026349748
2023-10-01,0.00271433407999231,1,2023,10,Oct,0.00236593539103078,0.00015104654382952,0.000197352145132014,0.00256328753616279
2023-11-01,0.00261166326767413,1,2023,11,Nov,0.00239775071519825,0.000151350243975515,6.25623085003645e-05,0.00246031302369862
2023-12-01,0.00244305812815034,1,2023,12,Dec,0.00242323310997686,-8.19174418944718e-06,2.80167623629302e-05,0.00245124987233979
2024-01-01,0.00247352606742861,1,2024,1,Jan,0.00244871550475546,-2.11114332506671e-06,2.69217059982183e-05,0.00247563721075368
2024-02-01,0.00247006190430943,1,2024,2,Feb,0.00246106764624832,-0.000111539286271717,0.000120533544332831,0.00258160119058115
2024-03-01,0.00250050085807126,1,2024,3,Mar,0.00247341978774118,-0.000106876179398033,0.000133957249728109,0.00260737703746929
2024-04-01,0.00262613094967247,1,2024,4,Apr,0.00245706246805119,0.000125546509892463,4.35219717288158e-05,0.00250058443978001
2024-05-01,0.00280768719910022,1,2024,5,May,0.00244070514836121,0.000219690456549963,0.000147291594189046,0.00258799674255025
2024-06-01,0.00207418282524835,1,2024,6,Jun,0.00242178321568018,-6.61729105009264e-05,-0.000281427479930911,0.00214035573574927
2024-07-01,0.00269885903859571,1,2024,7,Jul,0.00240286128299916,-0.000216337002085795,0.000512334757682341,0.0029151960406815
2024-08-01,0.00229505753363848,1,2024,8,Aug,0.00238220626740227,-0.000104690471733269,1.75417379694727e-05,0.00239974800537175
2024-09-01,0.0024236913237987,1,2024,9,Sep,0.00236155125180539,-3.1715045518215e-05,9.38551175115256e-05,0.00245540636931691
2024-10-01,0.00249974905698561,1,2024,10,Oct,0.00233928248928724,0.00015104654382952,9.42002386884874e-06,0.00234870251315609
2024-11-01,0.00243498678741298,1,2024,11,Nov,0.00231701372676909,0.000151350243975515,-3.3377183331617e-05,0.00228363654343747
2024-12-01,0.00216426791118843,1,2024,12,Dec,0.00229337862799308,-8.19174418944718e-06,-0.000120918972615202,0.00217245965537788
