lon,lat,year,detections,mean_volume,mean_temp,mean_dtc_freq,mean_clr_obs,detections_total,first_year,last_year
44.339975,35.530549,2014,1,0.112931852,1693.67,98.2234,394,5,2012,2016
44.339975,35.530549,2015,1,0.095826391,1693.67,100,377,5,2012,2016
44.339975,35.530549,2016,1,0.115904723,1693.67,98.6667,375,5,2012,2016
44.344495,33.488527,2012,1,0.14593343,1724.2,97.7679,224,5,2012,2016
44.344495,33.488527,2013,1,0.177342901,1724.2,100,370,5,2012,2016
44.344495,33.488527,2014,1,0.196823313,1724.2,99.7245,363,5,2012,2016
44.344495,33.488527,2015,1,0.206503051,1724.2,99.1453,351,5,2012,2016
44.344495,33.488527,2016,1,0.191903456,1724.2,100,361,5,2012,2016
44.37475,35.511452,2012,1,0.085183287,1723.13,98.1191,319,5,2012,2016
44.37475,35.511452,2013,1,0.062849763,1723.13,99.4778,383,5,2012,2016
44.37475,35.511452,2014,1,0.038783825,1723.13,87.1795,390,5,2012,2016
44.37475,35.511452,2015,1,0.030335738,1723.13,91.3386,381,5,2012,2016
44.37475,35.511452,2016,1,0.027235709,1723.13,77.3087,379,5,2012,2016
44.419953,35.459265,2012,1,0.067071311,1724.93,97.2477,327,5,2012,2016
44.419953,35.459265,2013,1,0.055668552,1724.93,92.6121,379,5,2012,2016
44.419953,35.459265,2014,1,0.006931095,1724.93,15.6962,395,5,2012,2016
44.419953,35.459265,2015,1,0.050589015,1724.93,88.8889,387,5,2012,2016
44.419953,35.459265,2016,1,0.059316836,1724.93,83.3773,379,5,2012,2016
44.429826,35.247283,2012,1,0.081562007,1721.18,98.4568,324,5,2012,2016
44.429826,35.247283,2013,1,0.060071502,1721.18,97.6923,390,5,2012,2016
44.429826,35.247283,2014,1,0.043866004,1721.18,96.6581,389,5,2012,2016
44.429826,35.247283,2015,1,0.050752805,1721.18,98.7047,386,5,2012,2016
44.429826,35.247283,2016,1,0.039160424,1721.18,96.3918,388,5,2012,2016
44.431127,33.282421,2012,1,0.040995867,1721.44,76.9968,313,5,2012,2016
44.431127,33.282421,2013,1,0.043824029,1721.44,78.1818,385,5,2012,2016
44.431127,33.282421,2014,1,0.046703558,1721.44,81.3187,364,5,2012,2016
44.431127,33.282421,2015,1,0.034695246,1721.44,71.8016,383,5,2012,2016
44.431127,33.282421,2016,1,0.026882798,1721.44,68.8172,372,5,2012,2016
44.495846,36.018535,2012,1,0.002329662,1534.52,5.14469,311,4,2012,2015
44.495846,36.018535,2013,1,0.003166954,1534.52,11.3208,371,4,2012,2015
44.495846,36.018535,2014,1,0.016678609,1534.52,62.5323,387,4,2012,2015
44.495846,36.018535,2015,1,0.004953788,1534.52,19.1489,376,4,2012,2015
44.519643,36.007919,2012,1,0.074406626,1751.99,97.4026,308,5,2012,2016
44.519643,36.007919,2013,1,0.070505906,1751.99,96.6942,363,5,2012,2016
44.519643,36.007919,2014,1,0.098772258,1751.99,97.6684,386,5,2012,2016
44.519643,36.007919,2015,1,0.088355759,1751.99,99.4667,375,5,2012,2016
44.519643,36.007919,2016,1,0.041498684,1751.99,94.4591,379,5,2012,2016
44.55916,31.519756,2012,1,0.017871369,1715.96,79.5322,342,5,2012,2016
44.55916,31.519756,2013,1,0.021459685,1715.96,92,400,5,2012,2016
44.55916,31.519756,2014,1,0.021537734,1715.96,89.6465,396,5,2012,2016
44.55916,31.519756,2015,1,0.020559575,1715.96,86.6834,398,5,2012,2016
44.55916,31.519756,2016,1,0.022878403,1715.96,87.8553,387,5,2012,2016
44.568493,35.124166,2012,1,0.08374587,1687.31,97.5155,322,5,2012,2016
44.568493,35.124166,2013,1,0.075144854,1687.31,98.961,385,5,2012,2016
44.568493,35.124166,2014,1,0.079639679,1687.31,98.6911,382,5,2012,2016
44.568493,35.124166,2015,1,0.068912625,1687.31,99.4898,392,5,2012,2016
44.568493,35.124166,2016,1,0.066809776,1687.31,98.9583,384,5,2012,2016
44.825691,35.137798,2012,1,0.186602305,1777.13,97.5684,329,5,2012,2016
44.825691,35.137798,2013,1,0.236947396,1777.13,99.7396,384,5,2012,2016
44.825691,35.137798,2014,1,0.113022259,1777.13,89.1414,396,5,2012,2016
44.825691,35.137798,2015,1,0.034369721,1777.13,75.827,393,5,2012,2016
44.825691,35.137798,2016,1,0.028229661,1777.13,38.1443,388,5,2012,2016
44.838701,33.41051,2012,1,0.001525023,1434.26,9.03427,321,4,2012,2015
44.838701,33.41051,2013,1,0.003064512,1434.26,15.1351,370,4,2012,2015
44.838701,33.41051,2014,1,0.00367796,1434.26,17.6471,357,4,2012,2015
44.838701,33.41051,2015,1,0.005366873,1434.26,25.4144,362,4,2012,2015
44.840757,33.394496,2012,1,0.001162546,1358.34,7.05521,326,4,2012,2015
44.840757,33.394496,2013,1,0.003314952,1358.34,16.2667,375,4,2012,2015
44.840757,33.394496,2014,1,0.005759352,1358.34,29.1553,367,4,2012,2015
44.840757,33.394496,2015,1,0.006698325,1358.34,34.153,366,4,2012,2015
45.01597,35.677798,2012,1,0.000747823,1842.96,4.14013,314,5,2012,2016
45.01597,35.677798,2013,1,0.032454438,1842.96,42.2164,379,5,2012,2016
45.01597,35.677798,2014,1,0.016674559,1842.96,44.7368,380,5,2012,2016
45.01597,35.677798,2015,1,0.011021142,1842.96,33.1536,371,5,2012,2016
45.01597,35.677798,2016,1,0.017726482,1842.96,45.5959,386,5,2012,2016
45.150464,34.754042,2012,1,0.03327779,1730.03,25.9819,331,3,2012,2016
45.150464,34.754042,2015,1,0.119478158,1730.03,85.4545,385,3,2012,2016
45.150464,34.754042,2016,1,0.111313034,1730.03,78.5146,377,3,2012,2016
45.255453,31.242206,2012,1,0.018958369,1670.58,67.0588,340,5,2012,2016
45.255453,31.242206,2013,1,0.029526183,1670.58,82.7848,395,5,2012,2016
45.255453,31.242206,2014,1,0.03362709,1670.58,85.2417,393,5,2012,2016
45.255453,31.242206,2015,1,0.036748782,1670.58,92.6509,381,5,2012,2016
45.255453,31.242206,2016,1,0.038720129,1670.58,94.3878,392,5,2012,2016
45.444878,34.04139,2012,1,0.163926819,1782.26,98.1308,321,5,2012,2016
45.444878,34.04139,2013,1,0.132357961,1782.26,99.2386,394,5,2012,2016
45.444878,34.04139,2014,1,0.103076875,1782.26,95.8333,384,5,2012,2016
45.444878,34.04139,2015,1,0.089784956,1782.26,98.7047,386,5,2012,2016
45.444878,34.04139,2016,1,0.080544338,1782.26,87.9265,381,5,2012,2016
45.445924,35.46797,2012,1,0.00101862,2038,6.25,320,2,2012,2015
45.445924,35.46797,2015,1,0.001140053,2038,5.29101,378,2,2012,2015
45.66365,32.488785,2012,1,0.612614722,1714.05,99.322,295,5,2012,2016
45.66365,32.488785,2013,1,0.626985951,1714.05,98.9333,375,5,2012,2016
45.66365,32.488785,2014,1,0.396109929,1714.05,99.723,361,5,2012,2016
45.66365,32.488785,2015,1,0.380206474,1714.05,100,347,5,2012,2016
45.66365,32.488785,2016,1,0.466791953,1714.05,100,370,5,2012,2016
45.719574,32.460585,2012,1,0.00104288,1769.88,3.93443,305,2,2012,2013
45.719574,32.460585,2013,1,0.001084209,1769.88,3.65535,383,2,2012,2013
45.96384,31.357764,2012,1,0.07694889,1733.93,65.7407,324,5,2012,2016
45.96384,31.357764,2013,1,0.1768938,1733.93,83.6735,392,5,2012,2016
45.96384,31.357764,2014,1,0.121309785,1733.93,80.8511,376,5,2012,2016
45.96384,31.357764,2015,1,0.150992126,1733.93,94.3787,338,5,2012,2016
45.96384,31.357764,2016,1,0.307816105,1733.93,100,343,5,2012,2016
46.013994,33.029697,2014,1,0.116596574,1756.02,44.4444,378,3,2014,2016
46.013994,33.029697,2015,1,0.337227811,1756.02,96.3989,361,3,2014,2016
46.013994,33.029697,2016,1,0.500964716,1756.02,99.187,369,3,2014,2016
46.064602,31.768904,2013,1,0.108913426,1768.49,32.8165,387,4,2013,2016
46.064602,31.768904,2014,1,0.371447539,1768.49,95.6164,365,4,2013,2016
46.064602,31.768904,2015,1,0.431902977,1768.49,96.988,332,4,2013,2016
46.064602,31.768904,2016,1,0.459477186,1768.49,97.832,369,4,2013,2016
46.218872,30.996476,2012,1,0.037838659,1654.6,92.1708,281,5,2012,2016
46.218872,30.996476,2013,1,0.03861622,1654.6,94.8187,386,5,2012,2016
46.218872,30.996476,2014,1,0.043513181,1654.6,96.3889,360,5,2012,2016
46.218872,30.996476,2015,1,0.037151212,1654.6,89.6936,359,5,2012,2016
46.218872,30.996476,2016,1,0.034523237,1654.6,85.2151,372,5,2012,2016
46.837681,30.352359,2012,1,0.224244592,1724.62,87.0482,332,5,2012,2016
46.837681,30.352359,2013,1,0.170613432,1724.62,64.5885,401,5,2012,2016
46.837681,30.352359,2014,1,0.182323518,1724.62,85.7895,380,5,2012,2016
46.837681,30.352359,2015,1,0.174332457,1724.62,89.5561,383,5,2012,2016
46.837681,30.352359,2016,1,0.252093544,1724.62,98.4925,398,5,2012,2016
47.061706,31.793466,2012,1,0.032074317,1708.43,88.4211,285,5,2012,2016
47.061706,31.793466,2013,1,0.054847842,1708.43,92.4242,396,5,2012,2016
47.061706,31.793466,2014,1,0.057177002,1708.43,91.5014,353,5,2012,2016
47.061706,31.793466,2015,1,0.06847145,1708.43,90.6706,343,5,2012,2016
47.061706,31.793466,2016,1,0.12550609,1708.43,98.8764,356,5,2012,2016
47.103008,30.564248,2012,1,0.200081496,1673.02,89.5706,326,5,2012,2016
47.103008,30.564248,2013,1,0.173526424,1673.02,68.25,400,5,2012,2016
47.103008,30.564248,2014,1,0.201002886,1673.02,75.1309,382,5,2012,2016
47.103008,30.564248,2015,1,0.238090402,1673.02,92.0635,378,5,2012,2016
