date,year,month,mean_risk,p95_risk,p99_risk,active_share,strict_active_share,n_grids,value,observed,seasonal,trend,remainder,deseasoned,deseasoned_ma3
2021-02-01,2021,2,0.00216409148602537,0.000178284899269032,0.00666222518321119,0.00231820883693283,0.00598375272439073,50470,0.000178284899269032,0.000178284899269032,1.69926015972474e-05,7.6878332558178e-05,8.44139651136065e-05,0.000161292297671784,0.000161292297671785
2021-03-01,2021,3,0.00204780457308266,0.000178284899269032,0.00666222518321119,0.00231820883693283,0.00529027144838518,50470,0.000178284899269032,0.000178284899269032,1.99465378256015e-05,8.04281456066754e-05,7.7910215836755e-05,0.00015833836144343,0.000107775458063361
2021-04-01,2021,4,0.00241654075065873,0,0.00666222518321119,0.00247671884287696,0.00671686150188231,50470,0,0,-3.69571507486662e-06,7.8876614301041e-05,-7.51808992261744e-05,3.69571507486663e-06,0.000105572776142897
2021-05-01,2021,5,0.00271995919487772,0.000178284899269032,0.011014948859166,0.00283336635625124,0.00697444026154151,50470,0.000178284899269032,0.000178284899269032,2.36006473586372e-05,7.73250829954066e-05,7.73591689149882e-05,0.000154684251910395,9.53540441683839e-05
2021-06-01,2021,6,0.00245912515407809,0.000178284899269032,0.011014948859166,0.00263522884882108,0.00754903903308896,50470,0.000178284899269032,0.000178284899269032,5.06027337491415e-05,6.99428401372853e-05,5.77393253826052e-05,0.00012768216551989,0.000102212891167169
2021-07-01,2021,7,0.00234243531635448,0,0.00666222518321119,0.00269467010105013,0.00580542896770359,50470,0,0,-2.4272256071222e-05,6.25605972791639e-05,-3.8288341207942e-05,2.4272256071222e-05,5.82298259597971e-05
2021-08-01,2021,8,0.00237172230091479,0,0.00477495456724247,0.00273429760253616,0.00536952645135724,50470,0,0,-2.2735056288279e-05,5.08598172493233e-05,-2.81247609610443e-05,2.2735056288279e-05,2.2735056288279e-05
2021-09-01,2021,9,0.00252881888117521,0,0.00666222518321119,0.00273429760253616,0.00574598771547454,50470,0,0,-2.1197856505336e-05,3.91590372194827e-05,-1.79611807141467e-05,2.1197856505336e-05,2.10960731062568e-05
2021-10-01,2021,10,0.00283792748658743,0,0.00666222518321119,0.0031702001188825,0.00592431147216168,50470,0,0,-1.93553065251553e-05,2.85439181074062e-05,-9.18861158225089e-06,1.93553065251553e-05,1.93553065251553e-05
2021-11-01,2021,11,0.00275921801726422,0,0.00666222518321119,0.00299187636219536,0.00604319397661977,50470,0,0,-1.75127565449745e-05,1.79287989953296e-05,-4.16042450355105e-07,1.75127565449745e-05,1.77600955287884e-05
2021-12-01,2021,12,0.00243697730847131,0,0.00583657587548638,0.00261541509807807,0.00527045769764216,50470,0,0,-1.64122235162355e-05,1.03961687218477e-05,6.01605479438776e-06,1.64122235162355e-05,6.62877156410554e-06
2022-01-01,2022,1,0.002082319250948,0,0.00429799426934097,0.00245690509213394,0.00499306518723995,50470,0,0,1.40386653688934e-05,2.86353844836574e-06,-1.69022038172592e-05,-1.40386653688934e-05,-4.87301448330179e-06
2022-02-01,2022,2,0.00188067503498093,0,0.00429799426934097,0.00210025757875966,0.00477511392906677,50470,0,0,1.69926015972474e-05,3.58693877682484e-07,-1.73512954749299e-05,-1.69926015972474e-05,-1.69926015972474e-05
2022-03-01,2022,3,0.00214724617713533,0,0.00583657587548638,0.00245690509213394,0.00523083019615613,50470,0,0,1.99465378256015e-05,-2.14615069300077e-06,-1.78003871326007e-05,-1.99465378256015e-05,-1.10811414493274e-05
